# m n x y expected relative_tolerance absolute_tolerance
1 2 0.37 0.2 0.7904492144673753242635516 5e-11 1e-300
1 2 0.37 1e-8 15915494.30918953324389546 5e-11 1e-300
1 3 0.37 0.2 0.9494527493338299074480097 5e-11 1e-300
1 3 0.37 1e-8 379954438658766.6270153083 5e-11 1e-300
2 2 0.37 0.2 0.2888851587037027807005367 5e-11 1e-300
2 2 0.37 1e-8 5888732.894400127229562319 5e-11 1e-300
2 3 0.37 0.2 0.3509771496096037891210962 5e-11 1e-300
2 3 0.37 1e-8 140583142303743.6503083274 5e-11 1e-300
3 2 0.37 0.2 0.7205966432726603902571066 5e-11 1e-300
3 2 0.37 1e-8 14785999.59435459637903393 5e-11 1e-300
3 3 0.37 0.2 0.8741884295891666684828535 5e-11 1e-300
3 3 0.37 1e-8 352989738599444.0042937549 5e-11 1e-300
4 2 0.37 0.2 0.2548898637247463362748246 5e-11 1e-300
4 2 0.37 1e-8 5470819.849911199960722515 5e-11 1e-300
4 3 0.37 0.2 0.3180841174499051605417682 5e-11 1e-300
4 3 0.37 1e-8 130606203281794.2749770262 5e-11 1e-300
5 2 0.37 0.2 0.6114836879255467690318735 5e-11 1e-300
5 2 0.37 1e-8 12761796.24988745117378908 5e-11 1e-300
5 3 0.37 0.2 0.7475755087696520072816503 5e-11 1e-300
5 3 0.37 1e-8 304665443385180.113232246 5e-11 1e-300
6 2 0.37 0.2 0.2052109519174650505032505 5e-11 1e-300
6 2 0.37 1e-8 4721864.612458355236382281 5e-11 1e-300
6 3 0.37 0.2 0.2644328437180273505636277 5e-11 1e-300
6 3 0.37 1e-8 112726214052516.6274823243 5e-11 1e-300
7 2 0.37 0.2 0.5875387899251379286007111 5e-11 1e-300
7 2 0.37 1e-8 12103481.27110956906524989 5e-11 1e-300
7 3 0.37 0.2 0.7137833774449356625727586 5e-11 1e-300
7 3 0.37 1e-8 288949330937589.6843911764 5e-11 1e-300
8 2 0.37 0.2 0.1967288159252989266719819 5e-11 1e-300
8 2 0.37 1e-8 4478288.070310538709077029 5e-11 1e-300
8 3 0.37 0.2 0.2515757042533754298759317 5e-11 1e-300
8 3 0.37 1e-8 106911252446908.1676867088 5e-11 1e-300
1 2 1 1e-8 7957747.154594766621947739 5e-11 1e-300
1 2 1.000001 7.49e-7 11027.67325141750057331438 5e-11 1e-300
1 2 2 1e-8 3.25228490703800227264927e-18 5e-11 1e-300
1 2 20 0.1 1.277060292363206194234048e-8 5e-11 1e-300
1 3 1 1e-8 189977219329383.3135076541 5e-11 1e-300
1 3 1.000001 7.49e-7 1036535654.669634960625928 5e-11 1e-300
1 3 2 1e-8 6.423762413855370529965633e-27 5e-11 1e-300
1 3 20 0.1 1.025579907228372206147188e-12 5e-11 1e-300
2 2 1 1e-8 7957747.103934174800778854 5e-11 1e-300
2 2 1.000001 7.49e-7 11027.66607241268024823644 5e-11 1e-300
2 2 2 1e-8 2.001406096638770570819988e-18 5e-11 1e-300
2 2 20 0.1 8.506433500623072973806082e-10 5e-11 1e-300
2 3 1 1e-8 189977218523094.9526776669 5e-11 1e-300
2 3 1.000001 7.49e-7 1036535300.838193938035842 5e-11 1e-300
2 3 2 1e-8 4.884182992352843606400609e-27 5e-11 1e-300
2 3 20 0.1 1.021981503981974365801159e-13 5e-11 1e-300
3 2 1 1e-8 795.7747134700398744105167 5e-11 1e-300
3 2 1.000001 7.49e-7 10.59136499516082158524458 5e-11 1e-300
3 2 2 1e-8 2.041958871932563016244161e-18 5e-11 1e-300
3 2 20 0.1 1.000912294248972354062833e-8 5e-11 1e-300
3 3 1 1e-8 15831434920.36812384539807 5e-11 1e-300
3 3 1.000001 7.49e-7 741344.5638443386768832355 5e-11 1e-300
3 3 2 1e-8 3.43042728506107723419133e-27 5e-11 1e-300
3 3 20 0.1 8.01978779318845999214999e-13 5e-11 1e-300
4 2 1 1e-8 795.7747055122927794988534 5e-11 1e-300
4 2 1.000001 7.49e-7 10.59135176232156761437905 5e-11 1e-300
4 2 2 1e-8 1.020979435966281474089432e-18 5e-11 1e-300
4 2 20 0.1 5.004436046790414369080718e-10 5e-11 1e-300
4 3 1 1e-8 15831434825.37951441817793 5e-11 1e-300
4 3 1.000001 7.49e-7 741344.142876994707234884 5e-11 1e-300
4 3 2 1e-8 2.256860055961234961202728e-27 5e-11 1e-300
4 3 20 0.1 6.005935437514958198215158e-14 5e-11 1e-300
5 2 1 1e-8 0.00001591549395112274202919989 5e-11 1e-300
5 2 1.000001 7.49e-7 0.00002646560262124790535591994 5e-11 1e-300
5 2 2 1e-8 1.201605539390619906886445e-18 5e-11 1e-300
5 2 20 0.1 7.491198924056046421786767e-9 5e-11 1e-300
5 3 1 1e-8 189.9772179045541774678882 5e-11 1e-300
5 3 1.000001 7.49e-7 0.8419341619827865371307294 5e-11 1e-300
5 3 2 1e-8 1.624939240292089276062076e-27 5e-11 1e-300
5 3 20 0.1 5.988576572972448316247076e-13 5e-11 1e-300
6 2 1 1e-8 0.00001591549347375339975105865 5e-11 1e-300
6 2 1.000001 7.49e-7 0.00002646545102587345902641678 5e-11 1e-300
6 2 2 1e-8 4.24029391428425477796948e-19 5e-11 1e-300
6 2 20 0.1 2.498305627441087127265037e-10 5e-11 1e-300
6 3 1 1e-8 189.9772160047820079212072 5e-11 1e-300
6 3 1.000001 7.49e-7 0.8419331100712120578005734 5e-11 1e-300
6 3 2 1e-8 8.124696201460446109487171e-28 5e-11 1e-300
6 3 20 0.1 2.994213243552502862371945e-14 5e-11 1e-300
1 2 1.001 0.000749 11.02767324713620339990597 5e-11 1e-300
1 2 1.001 0.000751 11.06047408070074770590526 5e-11 1e-300
1 3 1.001 0.000749 1036.535654376931040684589 5e-11 1e-300
1 3 1.001 0.000751 1040.508224723828536619052 5e-11 1e-300
2 2 1.001 0.000749 11.02049424941247221349835 5e-11 1e-300
2 2 1.001 0.000751 11.05326563213561970815554 5e-11 1e-300
2 3 1.001 0.000749 1036.181822935993820036547 5e-11 1e-300
2 3 1.001 0.000751 1040.152569870450469744669 5e-11 1e-300
7 2 3.75 1e-8 0.000009711533846746428448888139 5e-11 1e-300
7 2 5 1e-12 3.069700722911991241391861e-11 5e-11 1e-300
7 2 8 1e-12 3.226593029298196068027706e-29 5e-11 1e-300
7 2 13.3 0.01 4.116607281906938617027669e-10 5e-11 1e-300
7 2 0.5 5 0.004890174825657526596850189 5e-11 1e-300
7 2 1 8 0.001910354195270987688165919 5e-11 1e-300
7 2 5.5 0.3 0.00001353249476257166956177864 5e-11 1e-300
7 2 2 0.001 0.05339215767557567960914854 5e-11 1e-300
7 2 2 1e-18 53390535453281.92827376849 5e-11 1e-300
7 2 4.19 1e-16 0.8969855031787378125932478 5e-11 1e-300
7 2 1e-12 1e-16 1591549430918953.39095574 5e-11 1e-300
7 3 3.75 1e-8 231.8457925070878990265924 5e-11 1e-300
7 3 5 1e-12 7.32837065796311917369364 5e-11 1e-300
7 3 8 1e-12 9.773223684629692727620056e-34 5e-11 1e-300
7 3 13.3 0.01 7.525382682137431346633868e-15 5e-11 1e-300
7 3 0.5 5 0.0003056943213867523963673758 5e-11 1e-300
7 3 1 8 0.00007461114129250694765836694 5e-11 1e-300
7 3 5.5 0.3 4.698899644908334761910917e-8 5e-11 1e-300
7 3 2 0.001 12.74617890947010630695614 5e-11 1e-300
7 3 2 1e-18 1.27460514475693575476689e+31 5e-11 1e-300
7 3 4.19 1e-16 2141395150690006.835304713 5e-11 1e-300
7 3 1e-12 1e-16 3.799544386587666587983247e+30 5e-11 1e-300
8 2 3.75 1e-8 0.00003641825192529882148061263 5e-11 1e-300
8 2 5 1e-12 1.534850361455995609876867e-10 5e-11 1e-300
8 2 8 1e-12 4.115610998766487294907962e-30 5e-11 1e-300
8 2 13.3 0.01 3.117411282661829262599681e-11 5e-11 1e-300
8 2 0.5 5 0.00009078177630944986833669685 5e-11 1e-300
8 2 1 8 0.0000286454261143632590733007 5e-11 1e-300
8 2 5.5 0.3 0.000002563778098720331483925803 5e-11 1e-300
8 2 2 0.001 0.1067838598210723679543107 5e-11 1e-300
8 2 2 1e-18 106781070906563.856547537 5e-11 1e-300
8 2 4.19 1e-16 3.758369258318911785306302 5e-11 1e-300
8 2 1e-12 1e-16 1591.549430918953358944346 5e-11 1e-300
8 3 3.75 1e-8 869.4217219015795054268253 5e-11 1e-300
8 3 5 1e-12 36.64185328981559586846815 5e-11 1e-300
8 3 8 1e-12 7.818578946393714513501927e-33 5e-11 1e-300
8 3 13.3 0.01 8.573066152126639687512802e-16 5e-11 1e-300
8 3 0.5 5 0.000008363476270259538462317025 5e-11 1e-300
8 3 1 8 0.000001666162683313715176325831 5e-11 1e-300
8 3 5.5 0.3 1.361670602870923327488406e-8 5e-11 1e-300
8 3 2 0.001 25.49232382858194670250842 5e-11 1e-300
8 3 2 1e-18 2.549210289513871509533781e+31 5e-11 1e-300
