# m x1 y1 x2 y2 expected relative_tolerance absolute_tolerance
1 0.2 0.05 0.35 0.08 1.049840668381997916565477 5e-8 1e-300
2 0.2 0.05 0.35 0.08 0.2702672393575679645065124 5e-8 1e-300
3 0.2 0.05 0.35 0.08 1.009324388866219777040651 5e-8 1e-300
4 0.2 0.05 0.35 0.08 0.2573070582592433157209371 5e-8 1e-300
5 0.2 0.05 0.35 0.08 0.9356004892833903234931857 5e-8 1e-300
6 0.2 0.05 0.35 0.08 0.2343667044057427419386335 5e-8 1e-300
7 0.2 0.05 0.35 0.08 0.9088617022125300898282693 5e-8 1e-300
8 0.2 0.05 0.35 0.08 0.2266621177202659115707874 5e-8 1e-300
1 1e8 1e-3 100000000.00001 1e-3 2.026423672846350957515591e-39 5e-8 1e-300
2 1e8 1e-3 100000000.00001 1e-3 2.701898230461666109556249e-47 5e-8 1e-300
3 1e8 1e-3 100000000.00001 1e-3 1.591549430918635553994858e-39 5e-8 1e-300
4 1e8 1e-3 100000000.00001 1e-3 1.591549430918555987034055e-47 5e-8 1e-300
5 1e8 1e-3 100000000.00001 1e-3 1.193662073188976566024304e-39 5e-8 1e-300
6 1e8 1e-3 100000000.00001 1e-3 7.957747154592779437811079e-48 5e-8 1e-300
7 8.5 1e-100 8.50000000000091 1e-100 1.351223348595924607227299e-139 5e-8 1e-300
8 8.5 1e-100 8.50000000000091 1e-100 1.148539846306597362667026e-138 5e-8 1e-300
1 0.37 0.2 0.37 0.2 0.7904492144673753242635516 5e-8 1e-300
1 0.37 0.2 0.37000000000000005 0.2 0.7904492144673753237048515 5e-8 1e-300
1 0.2 0.1 0.204 0.1 1.590067889312143253012458 5e-8 1e-300
1 0.2 0.1 0.206 0.1 1.589271191335977521581315 5e-8 1e-300
2 0.37 0.2 0.37 0.2 0.2888851587037027807005367 5e-8 1e-300
2 0.37 0.2 0.37000000000000005 0.2 0.2888851587037028020199827 5e-8 1e-300
2 0.2 0.1 0.204 0.1 0.3207586946415987324098473 5e-8 1e-300
2 0.2 0.1 0.206 0.1 0.3221845170807686563357176 5e-8 1e-300
3 0.37 0.2 0.37 0.2 0.7205966432726603902571066 5e-8 1e-300
3 0.37 0.2 0.37000000000000005 0.2 0.7205966432726603808998504 5e-8 1e-300
3 0.2 0.1 0.204 0.1 1.549725716029505731397479 5e-8 1e-300
3 0.2 0.1 0.206 0.1 1.548613391910527621988833 5e-8 1e-300
4 0.37 0.2 0.37 0.2 0.2548898637247463362748246 5e-8 1e-300
4 0.37 0.2 0.37000000000000005 0.2 0.2548898637247463518338526 5e-8 1e-300
4 0.2 0.1 0.204 0.1 0.3098147504503736081212591 5e-8 1e-300
4 0.2 0.1 0.206 0.1 0.3111220351505203710942426 5e-8 1e-300
5 0.37 0.2 0.37 0.2 0.6114836879255467690318735 5e-8 1e-300
5 0.37 0.2 0.37000000000000005 0.2 0.6114836879255467478080289 5e-8 1e-300
5 0.2 0.1 0.204 0.1 1.475138490936193784208691 5e-8 1e-300
5 0.2 0.1 0.206 0.1 1.473460755778595172563336 5e-8 1e-300
6 0.37 0.2 0.37 0.2 0.2052109519174650505032505 5e-8 1e-300
6 0.37 0.2 0.37000000000000005 0.2 0.2052109519174650583898536 5e-8 1e-300
6 0.2 0.1 0.204 0.1 0.2903118654354365461284115 5e-8 1e-300
6 0.2 0.1 0.206 0.1 0.2914104487632046163667029 5e-8 1e-300
7 0.37 0.2 0.37 0.2 0.5875387899251379286007111 5e-8 1e-300
7 0.37 0.2 0.37000000000000005 0.2 0.587538789925137906759425 5e-8 1e-300
7 0.2 0.1 0.204 0.1 1.445879913337121502486593 5e-8 1e-300
7 0.2 0.1 0.206 0.1 1.444012541220863934958641 5e-8 1e-300
8 0.37 0.2 0.37 0.2 0.1967288159252989266719819 5e-8 1e-300
8 0.37 0.2 0.37000000000000005 0.2 0.1967288159252989340289641 5e-8 1e-300
8 0.2 0.1 0.204 0.1 0.283305362420930713082256 5e-8 1e-300
8 0.2 0.1 0.206 0.1 0.2843352657411358215809534 5e-8 1e-300
7 7.999999999999999 1e-20 8.000000000000002 1e-20 3.249657500212112882215702e-45 5e-8 1e-300
7 6 6 6.1 6 0.0008793427383664810960532678 5e-8 1e-300
7 8.5 0.02941176470588235 8.501 0.02941176470588235 2.179393009771748918782374e-8 5e-8 1e-300
7 8.5 0.029411764705882353 8.501 0.029411764705882353 2.179393009771749432937183e-8 5e-8 1e-300
7 8.5 0.029411764705882356 8.501 0.029411764705882356 2.179393009771749947091992e-8 5e-8 1e-300
8 7.999999999999999 1e-20 8.000000000000002 1e-20 5.960768670492044487694691e-46 5e-8 1e-300
8 6 6 6.1 6 0.00007301362580097458509593015 5e-8 1e-300
8 8.5 0.02941176470588235 8.501 0.02941176470588235 2.60993981016345756562163e-9 5e-8 1e-300
8 8.5 0.029411764705882353 8.501 0.029411764705882353 2.609939810163458181341702e-9 5e-8 1e-300
8 8.5 0.029411764705882356 8.501 0.029411764705882356 2.609939810163458797061774e-9 5e-8 1e-300
