# m n x y lower upper expected relative_tolerance absolute_tolerance
1 0 0.17 0.08 -0.45 0.6 1.04999999999999998889777 5e-9 1e-290
1 1 0.17 0.08 -0.45 0.6 0.9006024272859967234563115 5e-9 1e-290
1 2 0.17 0.08 -0.45 0.6 1.985937867184032781566212 5e-9 1e-290
1 3 0.17 0.08 -0.45 0.6 5.936544463913607356079125 5e-9 1e-290
2 0 0.17 0.08 -0.45 0.6 0.07874999999999998168132009 5e-9 1e-290
2 1 0.17 0.08 -0.45 0.6 0.1440069871969263266761164 5e-9 1e-290
2 2 0.17 0.08 -0.45 0.6 0.3367442232823248841497511 5e-9 1e-290
2 3 0.17 0.08 -0.45 0.6 1.009126783653194134818745 5e-9 1e-290
3 0 0.17 0.08 -0.45 0.6 0.9960646487895725730386662 5e-9 1e-290
3 1 0.17 0.08 -0.45 0.6 0.8779419507060894992289426 5e-9 1e-290
3 2 0.17 0.08 -0.45 0.6 1.951785312789264217914018 5e-9 1e-290
3 3 0.17 0.08 -0.45 0.6 5.843549195188982387919399 5e-9 1e-290
4 0 0.17 0.08 -0.45 0.6 0.06673009086407785115056445 5e-9 1e-290
4 1 0.17 0.08 -0.45 0.6 0.1378155417540270720386732 5e-9 1e-290
4 2 0.17 0.08 -0.45 0.6 0.3292683779434562942025191 5e-9 1e-290
4 3 0.17 0.08 -0.45 0.6 0.9911439521080320204976508 5e-9 1e-290
5 0 0.17 0.08 -0.45 0.6 0.9039698922588057120701554 5e-9 1e-290
5 1 0.17 0.08 -0.45 0.6 0.8367114393706127520910901 5e-9 1e-290
5 2 0.17 0.08 -0.45 0.6 1.886375477637531664198371 5e-9 1e-290
5 3 0.17 0.08 -0.45 0.6 5.663135733200890982336292 5e-9 1e-290
6 0 0.17 0.08 -0.45 0.6 0.04805834847846124863101324 5e-9 1e-290
6 1 0.17 0.08 -0.45 0.6 0.1269627887136438427807841 5e-9 1e-290
6 2 0.17 0.08 -0.45 0.6 0.3151427637804646882440895 5e-9 1e-290
6 3 0.17 0.08 -0.45 0.6 0.956406006148926237221235 5e-9 1e-290
7 0 0.17 0.08 -0.45 0.6 0.878410535637244131413228 5e-9 1e-290
7 1 0.17 0.08 -0.45 0.6 0.8218278127845003670286254 5e-9 1e-290
7 2 0.17 0.08 -0.45 0.6 1.858310965236107422447735 5e-9 1e-290
7 3 0.17 0.08 -0.45 0.6 5.582430700736031328646676 5e-9 1e-290
8 0 0.17 0.08 -0.45 0.6 0.04505613872462567770396906 5e-9 1e-290
8 1 0.17 0.08 -0.45 0.6 0.1235620056270809962662934 5e-9 1e-290
8 2 0.17 0.08 -0.45 0.6 0.3093482814482193957593113 5e-9 1e-290
8 3 0.17 0.08 -0.45 0.6 0.9410988500744063237157851 5e-9 1e-290
1 1 0.21 1e-12 -0.4 0.55 0.9999999999985419749668534 5e-9 1e-290
1 2 0.21 1e-12 -0.4 0.55 159154943091.8953389700232 5e-9 1e-290
1 3 0.21 1e-12 -0.4 0.55 37995443865876665819886.3 5e-9 1e-290
2 1 0.21 1e-12 -0.4 0.55 0.2099999999995077505968907 5e-9 1e-290
2 2 0.21 1e-12 -0.4 0.55 33422538049.2980199468225 5e-9 1e-290
2 3 0.21 1e-12 -0.4 0.55 7979043211834099526892.207 5e-9 1e-290
3 1 0.21 1e-12 -0.4 0.55 0.9777013859031678496822166 5e-9 1e-290
3 2 0.21 1e-12 -0.4 0.55 155606008434.5320837440958 5e-9 1e-290
3 3 0.21 1e-12 -0.4 0.55 37148198125732409866239.63 5e-9 1e-290
4 1 0.21 1e-12 -0.4 0.55 0.2053172910394382742464353 5e-9 1e-290
4 2 0.21 1e-12 -0.4 0.55 32677261771.25173637695847 5e-9 1e-290
4 3 0.21 1e-12 -0.4 0.55 7801121606403805783210.825 5e-9 1e-290
5 1 0.21 1e-12 -0.4 0.55 0.9345847547846438420957549 5e-9 1e-290
5 2 0.21 1e-12 -0.4 0.55 148743783462.5692193588877 5e-9 1e-290
5 3 0.21 1e-12 -0.4 0.55 35509962588387610712392.24 5e-9 1e-290
6 1 0.21 1e-12 -0.4 0.55 0.1962627985044775409932246 5e-9 1e-290
6 2 0.21 1e-12 -0.4 0.55 31236194527.13953490939491 5e-9 1e-290
6 3 0.21 1e-12 -0.4 0.55 7457092143561397973634.516 5e-9 1e-290
7 1 0.21 1e-12 -0.4 0.55 0.9155777428603129593976161 5e-9 1e-290
