# m x1 y1 x2 y2 lower upper expected relative_tolerance absolute_tolerance
1 0.1 0.08 0.35 0.12 -0.45 0.6 0.6138027815762749355592009 2e-8 1e-290
1 0.2 1e-8 0.20000003 2e-8 -0.4 0.55 5305164.77252224902643474 2e-8 1e-290
1 -0.2 1e-8 0.3 2e-8 -0.4 0.55 3.819718615105185156008489e-8 2e-8 1e-290
1 -0.2 1e-16 0.3 2e-16 -0.4 0.55 3.819718634205487787609744e-16 2e-8 1e-290
1 0.2 0.05 -2e-8 1e-8 0 1 0.05526767105322400216791968 2e-8 1e-290
1 0.2 0.05 -2e-12 1e-12 0 1 0.05526744066502401764275194 2e-8 1e-290
1 0.2 0.05 -2e-16 1e-16 0 1 0.05526744063165318604950993 2e-8 1e-290
1 0.5000000000002 1e-13 0.5000000000015 1e-13 -0.5 0.5 1388683029.176730894171262 2e-8 1e-290
1 0.500000000000002 1e-15 0.500000000000015 1e-15 -0.5 0.5 139148494098.5334101381864 2e-8 1e-290
1 1.1 1e-8 0.2 0.05 -0.4 0.55 3.751500694557021000594853e-9 2e-8 1e-290
1 -0.2 0.05 0.2 0.05 -0.5 0.5 0.1856068336829166071757115 2e-8 1e-290
1 0.2 0.05 -5e-17 1e-20 0 1 0.00002384027818620955414693696 2e-8 1e-290
1 0.2 0.05 -0.1 1e-200 0 1 3.804009622639444108279909e-200 2e-8 1e-290
1 0.5 1e-100 0.5000000000000001 1e-100 0.49999999999999994 0.5000000000000002 5.164873193977108965507969e-69 2e-8 1e-290
1 0.5 1e-200 0.5000000000000001 1e-200 0.49999999999999994 0.5000000000000002 5.164873193977108769802467e-169 2e-8 1e-290
1 -8.193e-197 1e-200 -9e-197 1e-200 0 1 5.330443724569496424423299e+186 2e-8 1e-290
1 0.2 1e-10 0.200001 1e-10 -0.5 0.5 63.66197469015181375225938 2e-8 1e-290
2 0.1 0.08 0.35 0.12 -0.45 0.6 0.1201634773299938984569196 2e-8 1e-290
2 0.2 1e-8 0.20000003 2e-8 -0.4 0.55 1061033.007556097561484499 2e-8 1e-290
2 -0.2 1e-8 0.3 2e-8 -0.4 0.55 -1.27323953595099374789556e-9 2e-8 1e-290
2 -0.2 1e-16 0.3 2e-16 -0.4 0.55 -1.273239544735162995769855e-17 2e-8 1e-290
2 0.2 0.05 -2e-8 1e-8 0 1 3.178804085170193342731109e-8 2e-8 1e-290
2 0.2 0.05 -2e-12 1e-12 0 1 4.276690430655066368380593e-12 2e-8 1e-290
2 0.2 0.05 -2e-16 1e-16 0 1 5.374575828717545922844495e-16 2e-8 1e-290
2 0.5000000000002 1e-13 0.5000000000015 1e-13 -0.5 0.5 694341514.5879981033200888 2e-8 1e-290
2 0.500000000000002 1e-15 0.500000000000015 1e-15 -0.5 0.5 69574247049.26633720137367 2e-8 1e-290
2 1.1 1e-8 0.2 0.05 -0.4 0.55 8.239589409149774363004049e-10 2e-8 1e-290
2 -0.2 0.05 0.2 0.05 -0.5 0.5 0.0 2e-8 1e-290
2 0.2 0.05 -5e-17 1e-20 0 1 5.544457045978749063262183e-20 2e-8 1e-290
2 0.2 0.05 -0.1 1e-200 0 1 6.078987327005245185407262e-201 2e-8 1e-290
2 0.5 1e-100 0.5000000000000001 1e-100 0.49999999999999994 0.5000000000000002 2.582436596988554769462041e-69 2e-8 1e-290
2 0.5 1e-200 0.5000000000000001 1e-200 0.49999999999999994 0.5000000000000002 2.58243659698855467160929e-169 2e-8 1e-290
2 -8.193e-197 1e-200 -9e-197 1e-200 0 1 2.288127809324494217419141e-10 2e-8 1e-290
